name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website
AK Tailoring and clothing Alterations,+64 9 302 0982,,"141 Pakenham Street West, Auckland CBD, Auckland 1010, New Zealand",Auckland,New Zealand,Tailor,5.0,5,"https://www.google.com/maps/place/AK+Tailoring+and+clothing+Alterations/@-36.843239,174.7558454,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47b767a603e1:0x3077b9d6ebea4f6b!8m2!3d-36.843239!4d174.7558454!16s%2Fg%2F11j21vpn26?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Lina alteration tailor,+64 21 390 016,,"220A Archers Road, Glenfield, Auckland 0627, New Zealand",Auckland,New Zealand,Clothing store,4.6,4,"https://www.google.com/maps/place/Lina+alteration+tailor/@-36.779116,174.7408054,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d39a4a0458b8b:0x97148390ba31fd05!8m2!3d-36.779116!4d174.7408054!16s%2Fg%2F11c6scht95?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Merai Tailors,+64 9 634 2550,,"135 Arthur Street, Onehunga, Auckland 1061, New Zealand",Auckland,New Zealand,Clothing store,4.8,4,"https://www.google.com/maps/place/Merai+Tailors/@-36.9208279,174.7847224,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d48b2195b6fc1:0x4de58901db65118c!8m2!3d-36.9208279!4d174.7847224!16s%2Fg%2F1td0b3j_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Nikis Tailoring & Alteration Ltd,+64 9 523 4157,,"Level 1, Unit 5M/153 Broadway, Newmarket, Auckland 1023, New Zealand",Auckland,New Zealand,Clothing alteration service,4.2,4,"https://www.google.com/maps/place/Nikis+Tailoring+%26+Alteration+Ltd/@-36.8683283,174.7778245,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4876d16886b3:0xbd375c9f05cba207!8m2!3d-36.8683283!4d174.7778245!16s%2Fg%2F1pyd0_l90?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
The Tailor Alterations,+64 9 636 7966,,"151 Arthur Street, Onehunga, Auckland 1061, New Zealand",Auckland,New Zealand,Clothing alteration service,3.5,3,"https://www.google.com/maps/place/The+Tailor+Alterations/@-36.9211533,174.7861303,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d48b22df2e18b:0x1c5a1f195245bedd!8m2!3d-36.9211533!4d174.7861303!16s%2Fg%2F11g8v2kb_z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Revamp Tailors,+64 9 377 2836,,"NZ, g9/166 Queen Street, Auckland 1010, New Zealand",Auckland,New Zealand,Clothing alteration service,4.2,4,"https://www.google.com/maps/place/Revamp+Tailors/@-36.8480971,174.7659258,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47fb1c872d43:0xacaf55fd5bf8c57f!8m2!3d-36.8480971!4d174.7659258!16s%2Fg%2F1td1q1kp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Needles & Threads Tailoring & Alteration Services,+64 21 279 7072,,"270 Great South Road, Papatoetoe, Auckland 2025, New Zealand",Auckland,New Zealand,Tailor,5.0,5,"https://www.google.com/maps/place/Needles+%26+Threads+Tailoring+%26+Alteration+Services/@-36.9715991,174.8626992,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4d002a046cd9:0x7d5da558a3ae6454!8m2!3d-36.9715991!4d174.8626992!16s%2Fg%2F11m9n1fvv1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Serena's Alterations,+64 9 815 7037,,"968 New North Road, Mount Albert, Auckland 1025, New Zealand",Auckland,New Zealand,Clothing alteration service,4.6,4,"https://www.google.com/maps/place/Serena's+Alterations/@-36.8851392,174.7146631,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d46e14ab2150d:0xcc543648d0ab6d9e!8m2!3d-36.8851392!4d174.7146631!16s%2Fg%2F1v8j0mfm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Hash Tailor,+64 210 265 6994,,"206 Richardson Road, Wesley, Auckland 1041, New Zealand",Auckland,New Zealand,Tailor,4.8,4,"https://www.google.com/maps/place/Hash+Tailor/@-36.9000728,174.7199646,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d46ed6aeed681:0xcdff7d604f20294c!8m2!3d-36.9000728!4d174.7199646!16s%2Fg%2F11c5qpx1vj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Glomax Super Tailors,+64 9 630 1203,,"108 Dominion Road, Mount Eden, Auckland 1024, New Zealand",Auckland,New Zealand,Tailor,4.8,4,"https://www.google.com/maps/place/Glomax+Super+Tailors/@-36.8719397,174.7525174,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d47b7de26e1e9:0x3d7c17eb840297b1!8m2!3d-36.8719397!4d174.7525174!16s%2Fg%2F1tctrvz4?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Wardrobe Clothing Alterations,,,"3/23 Ocean View Road, Hillcrest, Auckland 0627, New Zealand",Auckland,New Zealand,Clothing alteration service,5.0,5,"https://www.google.com/maps/place/Wardrobe+Clothing+Alterations/@-36.7948569,174.743991,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d39b2d1f91c71:0x548fee10cd0a4b91!8m2!3d-36.7948569!4d174.743991!16s%2Fg%2F11f7r5xl60?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Unique Tailoring & Alterations,+64 9 524 8488,,"285 Remuera Road, Remuera, Auckland 1050, New Zealand",Auckland,New Zealand,Clothing alteration service,4.7,4,"https://www.google.com/maps/place/Unique+Tailoring+%26+Alterations/@-36.8805514,174.7951464,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d485e33709df3:0xae5b9c142a16dc4a!8m2!3d-36.8805514!4d174.7951464!16s%2Fg%2F11c1vnvskj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Eden Alterations,+64 21 187 3035,,"774 Dominion Road, Mount Eden, Auckland 1041, New Zealand",Auckland,New Zealand,Clothing alteration service,4.8,4,"https://www.google.com/maps/place/Eden+Alterations/@-36.8921691,174.74604,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d4645f4ee0e11:0x837aa31c04b8b47f!8m2!3d-36.8921691!4d174.74604!16s%2Fg%2F11cn3cl_dr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
Auckland Alterations,+64 27 322 4561,,"18 Kingdon Street, Newmarket, Auckland 1023, New Zealand",Auckland,New Zealand,Clothing alteration service,5.0,5,"https://www.google.com/maps/place/Auckland+Alterations/@-36.865847,174.776882,17z/data=!3m1!4b1!4m6!3m5!1s0x6d0d49f747121a17:0x9ea63d35892f97ff!8m2!3d-36.865847!4d174.776882!16s%2Fg%2F11vys2vrd5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D",No
